year	iso3_d	reg	pop_wb_d	migt_wb	mignt_wb	mig_wb	mig_un	o_mig_un10	o_mig_un9	o_mig_un8	o_mig_un7	o_mig_un6	o_mig_un5	o_mig_un4	o_mig_un3	o_mig_un2	o_mig_un1	o_migt_dioc10	o_migt_dioc9	o_migt_dioc8	o_migt_dioc7	o_migt_dioc6	o_migt_dioc5	o_migt_dioc4	o_migt_dioc3	o_migt_dioc2	o_migt_dioc1	o_mignt_dioc10	o_mignt_dioc9	o_mignt_dioc8	o_mignt_dioc7	o_mignt_dioc6	o_mignt_dioc5	o_mignt_dioc4	o_mignt_dioc3	o_mignt_dioc2	o_mignt_dioc1	avg_o_mig_un	avg_o_migt_dioc	avg_o_mignt_dioc	rank_o_mig_un	rank_o_migt_dioc	rank_o_mignt_dioc	migt_sh_wb	mignt_sh_wb
2000	"AUS"	"Western Offshoots"	19028802	1114702	2922827	4167034	4011810	52	52	52	53	54	56	56	56	56	57	31	32	34	34	34	38	41	42	46	48	55	55	55	56	56	56	57	57	58	60	53.16667	33.83333	55.5	1	4	1	.2675049	.7014167
2010	"AUS"	"Western Offshoots"	22031750	2189162	3103182	5598228	5422780	57	57	58	60	60	61	62	63	63	65	39	43	44	45	46	47	54	57	59	61	52	53	53	55	56	57	59	61	62	63	58.83333	44	54.33333	1	3	1	.3910455	.554315
2000	"CAN"	"Western Offshoots"	30685730	2325116	3028049	5558364	5272049	49	50	51	52	53	53	54	54	54	55	37	38	41	43	43	44	47	49	53	59	40	40	40	42	46	48	51	54	55	55	51.33333	41	42.66667	2	2	2	.4183094	.5447734
2010	"CHE"	"Western Europe"	7824909	590943	1139024	1874469	1918051	43	43	44	44	44	47	48	50	56	58	32	34	35	36	37	39	40	40	45	48	46	47	47	48	48	50	52	52	56	58	44.16667	35.5	47.66667	5	5	2	.3152589	.6076515
2000	"CHE"	"Western Europe"	7184250	359096	1091400	1558414	1368680	38	38	38	40	40	43	45	48	53	53	26	26	27	30	35	38	41	43	49	53	36	40	40	40	41	45	45	47	49	50	39.5	30.33333	40.33333	4	5	3	.230424	.7003274
2010	"BEL"	"Western Europe"	10895586	231271	1204991	1468406	1393800	32	32	32	34	35	37	38	38	45	48	9	10	11	11	11	12	13	19	22	31	41	42	44	46	47	54	54	59	67	69	33.66667	10.66667	45.66667	10	18	3	.157498	.8206116
2000	"ISR"	"MENA without GCC"	6289000	888360	1013441	1970436	1522017	37	39	40	41	41	41	41	43	43	43	44	45	45	47	48	49	51	54	56	56	39	39	39	39	39	39	41	41	41	44	39.83333	46.33333	39	4	1	4	.4508444	.5143232
2010	"NLD"	"Western Europe"	16615394	448352	1026298	1615790	1514477	36	36	38	39	41	44	48	50	54	58	21	22	26	27	34	40	45	53	58	73	36	39	42	45	47	51	55	61	63	66	39	28.33333	43.33333	8	7	4	.2774816	.635168
2000	"USA"	"Western Offshoots"	2.822e+08	9154391	21825095	32539152	3.25e+07	46	47	49	50	55	55	58	59	62	65	20	21	21	24	25	30	35	38	45	48	32	34	36	37	37	37	41	44	46	50	50.33333	23.5	35.5	3	7	5	.2813346	.6707334
2010	"DNK"	"Nordic"	5547683	108303	352336	472973	447241	23	25	26	28	30	30	30	33	34	37	13	14	15	15	16	16	20	22	25	28	39	39	41	42	45	47	49	53	56	59	27	14.83333	42.16667	12	14	5	.2289835	.7449389
2010	"ITA"	"Western Europe"	59277417	719933	4158297	5753400	5749077	44	44	44	44	45	45	46	47	48	48	12	13	14	15	15	15	17	19	22	30	40	41	43	43	44	45	45	45	46	47	44.33333	14	42.66667	5	15	5	.1251317	.7227547
2000	"NZL"	"Western Offshoots"	3857700	197339	348195	567518	508124	31	31	31	31	32	32	34	35	36	36	22	24	25	26	26	27	27	30	35	42	30	32	33	34	36	37	43	47	51	55	31.33333	25	33.66667	6	6	6	.3477229	.61354
2000	"NLD"	"Western Europe"	15925513	259313	911460	1282489	1216163	25	26	27	28	28	29	31	33	38	43	12	12	12	14	16	17	19	19	26	43	28	29	29	30	30	30	31	34	34	34	27.16667	13.83333	29.33333	7	12	7	.2021951	.7106962
2010	"CAN"	"Western Offshoots"	34004889	4033724	2866242	6968321	6447735	50	53	55	56	57	57	60	63	63	64	47	47	48	51	56	57	61	67	70	72	38	38	40	43	44	44	44	47	49	51	54.66667	51	41.16667	4	2	6	.578866	.4113246
2000	"ITA"	"Western Europe"	56942108	331899	2078398	2717524	2013528	18	20	20	20	20	20	21	23	24	26	4	5	5	6	8	9	9	10	13	17	26	26	29	30	31	31	31	32	32	33	19.66667	6.166667	28.83333	13	18	8	.1221329	.7648131
2000	"DNK"	"Nordic"	5339616	82352	258790	353824	331798	21	21	21	23	26	27	27	28	29	32	12	14	14	16	16	16	18	21	24	31	25	25	26	28	31	34	36	36	38	41	23.16667	14.66667	28.16667	10	11	8	.2327485	.7314088
2010	"USA"	"Western Offshoots"	3.093e+08	13994173	26709308	42181457	4.12e+07	50	52	54	56	59	61	65	66	69	72	27	29	30	32	36	42	44	52	57	66	36	37	39	41	43	45	50	51	57	63	55.33333	32.66667	40.16667	3	6	7	.3317612	.6332002
2010	"GBR"	"Western Europe"	62766365	3940562	3688925	7843156	6543899	55	56	57	59	59	59	63	65	65	69	60	62	62	64	69	72	77	79	88	94	35	36	37	39	42	43	47	49	55	57	57.5	64.83334	38.66667	2	1	8	.5024204	.4703368
2000	"GBR"	"Western Europe"	58892514	1607695	2898554	4639181	4264794	33	35	36	38	39	41	42	45	48	51	29	31	33	36	38	45	46	50	56	61	23	24	26	30	30	32	32	33	35	39	37	35.33333	27.5	5	3	9	.3465472	.6247987
2000	"PHL"	"East Asia & Pacific"	77958223	301465	1603517	1905948	213097	3	3	3	3	3	3	4	5	8	13	9	9	9	10	11	11	12	19	21	32	20	24	26	30	32	33	36	39	41	50	3	9.833333	27.5	29	15	9	.1581706	.8413225
2010	"ESP"	"Western Europe"	46576897	1414103	4146804	6261936	6237590	43	43	44	45	46	46	46	47	49	50	22	23	26	27	28	29	32	33	35	39	34	35	36	37	40	41	41	43	45	47	44.5	25.83333	37.16667	5	8	9	.2258252	.6622239
2010	"NZL"	"Western Offshoots"	4350700	452696	375214	838301	719114	37	37	37	37	37	37	37	39	39	39	36	36	39	41	43	44	47	48	48	48	34	34	36	38	38	40	44	45	46	47	37	39.83333	36.66667	9	4	10	.5400161	.4475886
2000	"DEU"	"Western Europe"	82211508	2016432	9781612	12238167	8280964	30	30	31	32	33	36	36	39	41	44	14	14	15	15	15	18	20	25	28	34	26	26	26	26	26	28	29	31	32	36	32	15.16667	26.33333	6	10	10	.1647658	.799271
2010	"ISR"	"MENA without GCC"	7623600	912534	873985	1889902	1351951	41	41	41	41	41	41	42	43	44	45	37	37	38	40	41	42	42	44	45	46	34	35	35	36	36	36	37	38	38	38	41	39.16667	35.33333	7	4	11	.4828473	.4624499
2000	"SWE"	"Nordic"	8872109	240416	680095	965446	909603	22	23	23	25	26	26	26	27	29	30	13	13	14	16	18	19	21	22	24	26	24	24	24	26	26	28	28	29	30	34	24.16667	15.5	25.33333	9	10	11	.2490207	.7044361
2000	"GRC"	"Balkan"	10805808	188000	841953	1098538	1077220	19	19	20	21	21	21	23	23	24	24	10	12	15	16	16	16	17	18	18	22	23	24	26	26	26	27	27	27	28	32	20.16667	14.16667	25.33333	12	11	11	.1711365	.7664305
2010	"DEU"	"Western Europe"	81776930	2137985	7646486	10400612	9656093	37	39	42	43	44	46	47	51	55	56	16	17	19	19	21	23	24	28	31	38	30	33	34	35	37	40	43	47	50	55	41.83333	19.16667	34.83333	6	11	12	.2055634	.7351958
2010	"SWE"	"Nordic"	9378126	386910	900788	1301614	1238676	27	28	29	29	29	32	32	35	37	41	21	22	22	24	27	29	29	31	35	37	31	31	33	37	38	39	40	44	47	49	29	24.16667	34.83333	11	9	12	.297254	.6920546
2000	"BEL"	"Western Europe"	10251250	214974	887397	1221437	1152658	22	22	22	22	22	24	25	26	31	33	10	12	13	14	17	19	21	25	25	32	21	22	22	23	25	28	29	31	34	37	22.33333	14.16667	23.5	11	11	12	.1760009	.7265189
2010	"GRC"	"Balkan"	11121341	246658	1047949	1315800	1287879	25	25	25	25	26	26	26	26	28	31	17	18	18	18	18	18	20	23	23	26	30	30	31	33	34	34	34	34	39	40	25.33333	17.83333	32	13	12	13	.1874586	.7964349
2000	"ESP"	"Western Europe"	40567864	482652	1552493	2159692	1620200	18	19	20	20	20	21	21	22	22	23	10	10	10	11	11	12	14	14	16	18	20	20	20	20	21	23	25	27	30	32	19.66667	10.66667	20.66667	13	14	13	.2234819	.7188492
